  101  101
    4   24  8.784314e-001
    4   25  8.431373e-001
    4   26  8.196078e-001
    4   27  8.000000e-001
    4   28  7.764706e-001
    4   29  7.647059e-001
    4   30  7.725490e-001
    4   31  8.117647e-001
    4   32  8.666667e-001
    4   33  8.901961e-001
    4   34  8.705882e-001
    4   35  8.274510e-001
    4   36  8.000000e-001
    4   37  8.078431e-001
    4   38  8.235294e-001
    4   39  8.392157e-001
    4   40  8.588235e-001
    4   41  9.058824e-001
    4   42  9.490196e-001
    4   43  9.568627e-001
    4   44  9.450980e-001
    4   45  9.215686e-001
    4   46  8.784314e-001
    4   47  8.549020e-001
    4   48  8.823529e-001
    4   49  9.294118e-001
    4   50  9.686275e-001
    4   51  9.803922e-001
    4   52  9.764706e-001
    4   53  9.568627e-001
    4   54  9.607843e-001
    4   55  9.686275e-001
    4   56  9.725490e-001
    4   57  9.647059e-001
    4   58  9.647059e-001
    4   59  9.647059e-001
    4   60  9.372549e-001
    4   61  8.901961e-001
    4   62  8.588235e-001
    4   63  8.431373e-001
    4   64  8.549020e-001
    4   65  8.549020e-001
    4   66  8.549020e-001
    4   67  8.901961e-001
    4   68  9.254902e-001
    4   69  9.137255e-001
    4   70  9.098039e-001
    4   71  9.058824e-001
    4   72  9.137255e-001
    4   73  9.294118e-001
    4   74  9.411765e-001
    4   75  9.450980e-001
    4   76  9.372549e-001
    4   77  9.176471e-001
    4   78  9.098039e-001
    4   79  9.137255e-001
    4   80  9.176471e-001
    4   81  9.137255e-001
    4   82  9.019608e-001
    4   83  9.019608e-001
    4   84  9.176471e-001
    4   85  9.333333e-001
    4   86  9.254902e-001
    4   87  9.137255e-001
    4   88  8.941176e-001
    4   89  8.941176e-001
    4   90  9.058824e-001
    4   91  9.215686e-001
    4   92  9.294118e-001
    4   93  9.215686e-001
    4   94  9.098039e-001
    4   95  8.941176e-001
    4   96  8.941176e-001
    4   97  9.137255e-001
    4   98  9.411765e-001
    4   99  1.000000e+000
    4  100  7.450980e-001
    5    0  8.588235e-001
    5    1  8.313725e-001
    5    2  8.235294e-001
    5    3  8.235294e-001
    5    4  8.470588e-001
    5    5  8.784314e-001
    5    6  8.784314e-001
    5    7  8.823529e-001
    5    8  8.901961e-001
    5    9  9.019608e-001
    5   10  8.980392e-001
    5   11  8.862745e-001
    5   12  8.745098e-001
    5   13  8.705882e-001
    5   14  8.745098e-001
    5   15  8.941176e-001
    5   16  8.980392e-001
    5   17  8.627451e-001
    5   18  8.313725e-001
    5   19  8.470588e-001
    5   20  8.823529e-001
    5   21  9.058824e-001
    5   22  9.372549e-001
    5   23  9.411765e-001
    5   24  9.176471e-001
    5   25  8.784314e-001
    5   26  8.352941e-001
    5   27  8.000000e-001
    5   28  7.764706e-001
    5   29  7.686275e-001
    5   30  7.764706e-001
    5   31  8.039216e-001
    5   32  8.549020e-001
    5   33  8.980392e-001
    5   34  8.980392e-001
    5   35  8.588235e-001
    5   36  8.117647e-001
    5   37  7.843137e-001
    5   38  8.000000e-001
    5   39  8.117647e-001
    5   40  8.313725e-001
    5   41  8.823529e-001
    5   42  9.372549e-001
    5   43  9.647059e-001
    5   44  9.686275e-001
    5   45  9.411765e-001
    5   46  8.862745e-001
    5   47  8.509804e-001
    5   48  8.627451e-001
    5   49  9.176471e-001
    5   50  9.647059e-001
    5   51  9.882353e-001
    5   52  9.843137e-001
    5   53  9.686275e-001
    5   54  9.568627e-001
    5   55  9.529412e-001
    5   56  9.450980e-001
    5   57  9.411765e-001
    5   58  9.529412e-001
    5   59  9.607843e-001
    5   60  9.568627e-001
    5   61  9.333333e-001
    5   62  8.862745e-001
    5   63  8.549020e-001
    5   64  8.470588e-001
    5   65  8.470588e-001
